,time,"(x,y)"
0,5,"[-4.0, 0.5]"
1,9,"[0.0, 7.0]"
2,11,"[-4.0, 10.5]"
3,13,"[-9.5, 10.5]"
4,17,"[-9.5, 0.5]"
5,21,"[-9.5, -9.5]"
6,23,"[-4.0, -9.5]"
7,25,"[0.0, -6.0]"
8,27,"[3.0, -6.5]"
9,30,"[9.5, -9.5]"
10,32,"[6.0, -7.0]"
11,35,"[9.5, 0.5]"
12,38,"[6.0, 6.5]"
13,41,"[9.5, 10.5]"
14,44,"[3.0, 6.75]"
