,time,"(x,y)"
0,3,"[3, 3]"
1,5,"[3, 1.5]"
2,7,"[3, 0]"
3,9,"[3, -1.5]"
4,13,"[1, -1.5]"
5,15,"[1, 0]"
6,17,"[1, 1.5]"
7,19,"[1, 3]"
8,23,"[-2, 3]"
9,25,"[-2, 1.5]"
10,27,"[-2, 0]"
11,29,"[-2, -1.5]"
