,time,"(x,y)"
0,4,"[0, -2]"
1,6,"[1, -3]"
2,9,"[3, -3]"
3,11,"[3, -1]"
4,13,"[3, 1]"
5,15,"[3, 3]"
6,17,"[1, 3]"
7,20,"[-3, 3]"
8,24,"[-3, -3]"
