,time,"(x,y)"
0,2,"[3.0, 6.75]"
1,4,"[6.0, 6.5]"
2,6,"[9.5, 10.5]"
3,10,"[9.5, 0.5]"
4,14,"[0.0, 7.0]"
5,16,"[-4.0, 10.5]"
6,18,"[-9.5, 10.5]"
7,22,"[-9.5, 0.5]"
8,26,"[-9.5, -9.5]"
9,28,"[-4.0, -9.5]"
10,30,"[0.0, -6.0]"
11,33,"[-4.0, 0.5]"
12,37,"[3.0, -6.5]"
13,40,"[9.5, -9.5]"
14,44,"[6.0, -7.0]"
