,time,"(x,y)"
0,0,"[1, 3]"
1,8,"[3, 3]"
2,15,"[-2, 3]"
3,19,"[0, -2]"
4,23,"[3, 1]"
5,28,"[-2, 1]"
6,32,"[3, -1]"
7,39,"[-2, -1]"
8,43,"[1, -3]"
9,46,"[3, -3]"
10,49,"[-2, -3]"
