,time,"(x,y)"
0,0,"[1, 3]"
1,8,"[3, 3]"
2,15,"[-3, 3]"
3,19,"[0, -2]"
4,23,"[3, 1]"
5,29,"[3, -1]"
6,32,"[1, -3]"
7,39,"[3, -3]"
8,49,"[-3, -3]"
