,time,"(x,y)"
0,2,"[3.0, 6.75]"
1,4,"[6.0, 6.5]"
2,6,"[9.5, 10.5]"
3,10,"[9.5, 0.5]"
4,14,"[0.0, 7.0]"
5,16,"[-4.0, 10.5]"
6,18,"[-9.5, 10.5]"
7,22,"[-9.5, 0.5]"
8,24,"[-4.0, 0.5]"
9,28,"[3.0, -6.5]"
10,30,"[6.0, -7.0]"
11,32,"[9.5, -9.5]"
12,36,"[0.0, -6.0]"
13,38,"[-4.0, -9.5]"
14,40,"[-9.5, -9.5]"
