,x,y,vx,vy,fx,fy
0,3.0,4.0,0.0,0.0,0.0,-0.15625
1,3.0,4.0,0.0,-0.125,0.0,0.0
2,3.0,3.5,0.0,-0.125,0.0,-0.078125
3,3.0,3.0,0.0,-0.1875,0.0,0.0
4,3.0,2.25,0.0,-0.1875,0.0,0.0
5,3.0,1.5,0.0,-0.1875,0.0,0.0
6,3.0,0.75,0.0,-0.1875,0.0,0.0
7,3.0,0.0,0.0,-0.1875,0.0,0.0
8,3.0,-0.75,0.0,-0.1875,-0.15625,0.234375
9,3.0,-1.5,-0.125,0.0,0.0,0.0
10,2.5,-1.5,-0.125,0.0,0.0,0.0
11,2.0,-1.5,-0.125,0.0,0.0,0.0
12,1.5,-1.5,-0.125,0.0,0.15625,0.234375
13,1.0,-1.5,0.0,0.18749999999999994,0.0,0.0
14,1.0,-0.75,0.0,0.18749999999999994,0.0,0.0
15,1.0,0.0,0.0,0.18749999999999994,0.0,0.0
16,1.0,0.75,0.0,0.18749999999999994,0.0,0.0
17,1.0,1.5,0.0,0.18749999999999994,0.0,0.0
18,1.0,2.25,0.0,0.18749999999999994,-0.234375,-0.234375
19,1.0,3.0,-0.1875,0.0,0.0,0.0
20,0.25,3.0,-0.1875,0.0,0.0,0.0
21,-0.5,3.0,-0.1875,0.0,0.0,0.0
22,-1.25,3.0,-0.1875,0.0,0.234375,-0.234375
23,-2.0,3.0,0.0,-0.1875,0.0,0.0
24,-2.0,2.25,0.0,-0.1875,0.0,0.0
25,-2.0,1.5,0.0,-0.1875,0.0,0.0
26,-2.0,0.75,0.0,-0.1875,0.0,0.0
27,-2.0,0.0,0.0,-0.1875,0.0,0.0
28,-2.0,-0.75,0.0,-0.1875,0.0,0.0
29,-2.0,-1.5,0.0,-0.1875,0.0,0.0
