,time,"(x,y)"
0,2,"[3.0, 6.75]"
1,4,"[6.0, 6.5]"
2,7,"[9.5, 0.5]"
3,11,"[6.0, -7.0]"
4,13,"[9.5, -9.5]"
5,17,"[0.0, -6.0]"
6,20,"[-4.0, 0.5]"
7,24,"[-9.5, 10.5]"
8,26,"[-4.0, 10.5]"
9,31,"[9.5, 10.5]"
10,35,"[0.0, 7.0]"
11,39,"[-9.5, 0.5]"
12,43,"[-9.5, -9.5]"
13,46,"[-4.0, -9.5]"
14,49,"[3.0, -6.5]"
