,time,"(x,y)"
0,3,"[3, 3]"
1,5,"[3, 1]"
2,7,"[3, -1]"
3,9,"[3, -3]"
4,11,"[1, -3]"
5,13,"[0, -2]"
6,16,"[-3, -3]"
7,21,"[-3, 3]"
8,24,"[1, 3]"
