,time,"(x,y)"
0,2,"[3, 3]"
1,5,"[1, 3]"
2,7,"[3, 1]"
3,9,"[3, -1]"
4,11,"[3, -3]"
5,14,"[0, -2]"
6,16,"[-1.5, 0.5]"
7,19,"[-3, 3]"
8,21,"[-4, 0.5]"
9,24,"[-3, -3]"
