,time,"(x,y)"
0,3,"[3.0, 6.75]"
1,4,"[6.0, 6.5]"
2,6,"[9.5, 10.5]"
3,12,"[-9.5, 10.5]"
4,16,"[0.0, 7.0]"
5,20,"[9.5, 0.5]"
6,24,"[9.5, -9.5]"
7,26,"[6.0, -7.0]"
8,27,"[3.0, -6.5]"
9,30,"[-4.0, -9.5]"
10,33,"[0.0, -6.0]"
11,37,"[-9.5, -9.5]"
12,43,"[-9.5, 0.5]"
13,45,"[-4.0, 0.5]"
14,49,"[-4.0, 10.5]"
