,time,"(x,y)"
0,2,"[3.0, 6.75]"
1,7,"[-4.0, -9.5]"
2,9,"[-9.5, -9.5]"
3,12,"[-4.0, 0.5]"
4,14,"[0.0, 7.0]"
5,16,"[6.0, 6.5]"
6,19,"[-4.0, 10.5]"
7,22,"[-9.5, 10.5]"
8,25,"[-9.5, 0.5]"
9,28,"[0.0, -6.0]"
10,29,"[3.0, -6.5]"
11,31,"[9.5, -9.5]"
12,33,"[6.0, -7.0]"
13,36,"[9.5, 0.5]"
14,39,"[9.5, 10.5]"
