,time,"(x,y)"
0,2,"[3.0, 6.75]"
1,4,"[6.0, 6.5]"
2,6,"[9.5, 10.5]"
3,10,"[9.5, 0.5]"
4,13,"[6.0, -7.0]"
5,15,"[9.5, -9.5]"
6,18,"[3.0, -6.5]"
7,20,"[0.0, -6.0]"
8,22,"[-4.0, -9.5]"
9,24,"[-9.5, -9.5]"
10,28,"[-9.5, 0.5]"
11,30,"[-4.0, 0.5]"
12,33,"[0.0, 7.0]"
13,35,"[-4.0, 10.5]"
14,37,"[-9.5, 10.5]"
