,time,"(x,y)"
0,0,"[1, 3]"
1,6,"[3, 3]"
2,10,"[-2, 3]"
3,14,"[1, 1]"
4,22,"[3, 1]"
5,25,"[-2, 1]"
6,28,"[3, -1]"
7,31,"[-2, -1]"
8,40,"[1, -1]"
9,43,"[1, -3]"
10,46,"[3, -3]"
11,49,"[-2, -3]"
