,time,"(x,y)"
0,3,"[3, 3]"
1,6,"[1, 3]"
2,9,"[3, 1]"
3,11,"[3, -1]"
4,13,"[3, -3]"
5,15,"[1, -3]"
6,16,"[0, -2]"
7,19,"[-3, -3]"
8,24,"[-3, 3]"
