,time,"(x,y)"
0,2,"[3, 3]"
1,4,"[3, 1]"
2,7,"[3, -2]"
3,10,"[1, -2]"
4,13,"[1, 1]"
5,15,"[1, 3]"
6,19,"[-2, 3]"
7,21,"[-2, 1]"
8,24,"[-2, -2]"
