,time,"(x,y)"
0,2,"[3.0, 6.75]"
1,4,"[6.0, 6.5]"
2,6,"[9.5, 10.5]"
3,10,"[0.0, 7.0]"
4,12,"[-4.0, 10.5]"
5,14,"[-9.5, 10.5]"
6,18,"[-9.5, 0.5]"
7,20,"[-4.0, 0.5]"
8,23,"[0.0, -6.0]"
9,28,"[-9.5, -9.5]"
10,30,"[-4.0, -9.5]"
11,34,"[3.0, -6.5]"
12,36,"[6.0, -7.0]"
13,38,"[9.5, -9.5]"
14,42,"[9.5, 0.5]"
